birth,name,number,position,id
17/02/1986,Dudu Goresh,1,goalkeeper,1459
24/04/1988,Gal Navon,2,goalkeeper,1473
13/05/1986,Guy Haimov,7,goalkeeper,1474
26/09/1982,Ben Biton,5,defender,1456
26/09/1988,Ofir Davidzada,5,defender,1411
23/06/1996,Ben Turjeman,4,defender,1461
02/06/1986,Migel Vitor,11,defender,1465
07/02/1988,Shir Tzedek,15,defender,1468
06/02/1992,Matan Ohayon,24,defender,1471
04/11/1992,Luai Taha,13,defender,1479
28/02/1984,William Suarez,22,defender,1425
03/11/1986,Mihai Korhut,22,defender,1464
13/10/1986,Maharan Radi,22,midfield,1488
26/08/1987,Maor Buzaglo,22,midfield,1435
21/06/1987,Ovidio Hoban,22,midfield,1446
12/12/1992,Vova Brown,22,midfield,1402
22/03/1995,Michael Ohana,22,midfield,1419
01/10/1986,Maor Melikson,22,midfield,1462
22/12/1985,John Ogu,22,midfield,1432
19/12/1990,Muhamed Gadir,22,forward,1433
13/05/1987,Anthony Nwakame,22,forward,1434
11/03/1983,Elianiv Barda,22,forward,1439
10/03/1986,Ben Sahar,22,forward,1449
30/01/1995,Niv Zrihen,22,forward,1489
